Developer,Latitude,Longitude,Place Name,Address
Ustwo Games,51.47998459999999,-0.1134778,ustwo Games,"Unit C1, OFFLEY WORKS, 1 Pickle Mews, London SW9 0FJ, Vereinigtes Königreich"
TT Games,53.3017765,-2.3725991,Tt Games,"Canute Court, Toft Rd, Knutsford WA16 0NL, Vereinigtes Königreich"
Rockstar Leeds/North,53.7903438,-1.5476685,Rockstar Leeds,"1 Victoria Pl, Holbeck, Leeds LS11 5AE, Vereinigtes Königreich"
Rare,52.6569,-1.5083,Rare,"""Headquarters: Zentrale: Twycross, Leicestershire, Vereinigtes Königreich"""
SK Software International,51.26049,6.81023,SKS Soft GmbH,"Münsterstraße 481, 40470 Düsseldorf, Deutschland"
Rockstar Leeds,53.7903438,-1.5476685,Rockstar Leeds,"1 Victoria Pl, Holbeck, Leeds LS11 5AE, Vereinigtes Königreich"
Atari,40.7505,-73.9934,Atari,"""Headquarters: Zentrale: New York City, New York, USA"""
Arrowhead Game Studios,59.30350490000001,18.0838375,Arrowhead Game Studios AB,"Hammarby kaj 10d, 120 32 Stockholm, Schweden"
SCEA Santa Monica Studio,33.975129,-118.426169,Santa Monica Studio,"13031 W Jefferson Blvd #600, Los Angeles, CA 90094, Vereinigte Staaten"
Ocean Software,50.9352442,6.9397837,ServiceOcean SalesDE GmbH,"Habsburgerring 2, 50674 Köln, Deutschland"
Crytek,50.1260013,8.751026099999999,Crytek GmbH,"Hugo-Junkers-Straße 3, 60386 Frankfurt am Main, Deutschland"
PlatinumGames,47.505685,19.0547571,Platinum Shop- Pest,"Budapest, Bajcsy-Zsilinszky út 56, 1054 Ungarn"
EA Tiburon,28.6275,-81.3631,EA Tiburon,"""Headquarters: Zentrale: Maitland, Florida, USA"""
Frozenbyte,60.1843736,24.8591043,Frozenbyte Oy,"Krogiuksentie 17, 00340 Helsinki, Finnland"
Dice,50.96917269999999,6.9739657,Action Köln,"Barbarastraße 5, 50735 Köln, Deutschland"
Sucker Punch Productions,47.6182726,-122.1968645,Sucker Punch Productions,"929 108th Ave NE #300, Bellevue, WA 98004, Vereinigte Staaten"
Endnight Games Ltd,49.2849334,-123.1141404,Endnight Games Limited,"725 Granville St #400, Vancouver, BC V7Y 1G5, Kanada"
